strategy_key,state,state_label,n_days,cum_return,ann_vol,max_drawdown,sharpe,excess_return,win_rate
交易记录创业板,1,持续阴跌,357,-0.9999870635457901,2.8672357281745477,-0.9999870635457901,-1.052299673461704,-0.6345261153166465,0.07563025210084033
交易记录形态,1,持续阴跌,357,-1.0,5.749760116542414,-1.0,-2.348053277152097,-0.6345390517708563,0.2605042016806723
交易记录杠铃,2,高波下跌,243,-0.4296356409120734,2.509632040116371,-0.7291429750300101,1.0718725603535715,-0.24619084753182563,0.10699588477366255
交易记录军工,2,高波下跌,243,0.31229113077076787,1.6548927391262245,-0.6430039860001132,0.9904090942660664,0.49573592415101564,0.09465020576131687
交易记录国企,2,高波下跌,243,-0.8867089135127155,3.0477469683302063,-0.9731936392566405,0.8833690830878718,-0.7032641201324678,0.09876543209876543
交易记录旅游,2,高波下跌,243,-0.826387780873966,2.7457140634923634,-0.9549948708783592,0.7779662066320805,-0.6429429874937183,0.102880658436214
交易记录全球etf,2,高波下跌,243,-0.7558216183624228,2.478781898663124,-0.9695153132673174,0.7686385558962409,-0.572376824982175,0.0823045267489712
交易记录游戏,2,高波下跌,243,-0.9814097739509375,3.40881094563717,-0.9814097739509375,0.6607054396529229,-0.7979649805706898,0.102880658436214
交易记录1000,2,高波下跌,243,-0.8090223779369987,2.547915060303975,-0.9366908606630164,0.6583587334483337,-0.6255775845567509,0.09465020576131687
交易记录800,2,高波下跌,218,-0.7561802723044236,2.367894329152909,-0.9807521045429707,0.5737225265298576,-0.5461173337572329,0.10550458715596331
交易记录均衡持仓,2,高波下跌,243,-0.9337677402652015,2.7811074183619993,-0.9830654349052157,0.4322168286782976,-0.7503229468849537,0.08641975308641975
交易记录房地产,2,高波下跌,243,-0.9680776893000363,2.962501710520249,-0.970997165822599,0.41332754508577635,-0.7846328959197886,0.10699588477366255
交易记录百亿etf一只,2,高波下跌,243,-0.8931132853647187,2.4524955889430715,-0.9397300655555105,0.38739554104941465,-0.7096684919844709,0.07818930041152264
交易记录锤子策略,2,高波下跌,243,-0.912508679553888,2.5017835427805664,-0.9392466418384421,0.3364091532674319,-0.7290638861736403,0.27983539094650206
交易记录通信,2,高波下跌,243,-0.9889377712379818,3.1165219639703228,-0.9971726743459518,0.2716989825999257,-0.805492977857734,0.102880658436214
交易记录申万动量,2,高波下跌,243,-0.9878609303229099,3.0309231034741373,-0.9945448560036586,0.17866619172543158,-0.8044161369426621,0.08641975308641975
交易记录百亿etf两只,2,高波下跌,243,-0.9994870959000194,3.944139407987112,-0.9996990918108236,0.16555446746475752,-0.8160423025197716,0.35390946502057613
交易记录综合拆分1,2,高波下跌,128,0.0,0.0,0.0,0.0,0.10755914612341533,0.0
交易记录etf动量改,2,高波下跌,128,0.0,0.0,0.0,0.0,0.10755914612341533,0.0
交易记录行业,2,高波下跌,128,0.0,0.0,0.0,0.0,0.10755914612341533,0.0
交易记录综合拆分2,2,高波下跌,128,0.0,0.0,0.0,0.0,0.10755914612341533,0.0
交易记录桥水全天候,2,高波下跌,243,-0.9763697967917222,2.5690759415604836,-0.9878662268364095,-0.03406409199256074,-0.7929250034114744,0.11522633744855967
医疗etf增强,2,高波下跌,213,-0.9975550629046487,3.304896723449242,-0.9983458823483816,-0.30443548293706474,-0.8135205617695912,0.22535211267605634
交易记录酒,2,高波下跌,243,-0.9986374347873909,3.1534076987690085,-0.9991647568130785,-0.3648432558653378,-0.8151926414071431,0.08641975308641975
交易记录科创,2,高波下跌,153,-0.9031843469460272,2.219093962872246,-0.9079829974145261,-0.4929564924999533,-0.7956234281456039,0.08496732026143791
交易记录创业板,2,高波下跌,243,-0.9953678511952039,2.710692367002142,-0.9970744672995449,-0.503914098594829,-0.8119230578149561,0.08641975308641975
交易记录双创,2,高波下跌,153,-0.9080304543932841,2.134530397844029,-0.9080304543932841,-0.6440975194931219,-0.8004695355928608,0.0718954248366013
交易记录形态,2,高波下跌,243,-0.9999999999839078,5.8853638609002035,-0.9999999999944997,-0.9129813375821849,-0.81655520660366,0.3168724279835391
交易记录百亿etf两只,5,慢牛趋势,555,-0.9997334385253847,4.2694544396041065,-0.9999493146067303,1.3873091282765706,-1.6148449048373266,0.4126126126126126
交易记录科创,5,慢牛趋势,309,-0.5693274963992101,2.435105802787243,-0.9242044455752423,0.9934670228933555,-0.7050332534537962,0.11003236245954692
交易记录申万动量,5,慢牛趋势,555,-0.9801884645285542,2.4991192418094057,-0.992099282867963,0.6404721824587117,-1.595299930840496,0.08108108108108109
交易记录通信,5,慢牛趋势,555,-0.9988148762907351,3.008442796602449,-0.9998746904651787,0.6351262647474705,-1.613926342602677,0.1045045045045045
交易记录锤子策略,5,慢牛趋势,555,-0.9214283890347512,2.079797366876852,-0.9428427700510273,0.5809175342463961,-1.5365398553466931,0.3063063063063063
交易记录国企,5,慢牛趋势,555,-0.9986617548185495,2.902402149026556,-0.9996299885520129,0.5322546255691275,-1.6137732211304914,0.09549549549549549
交易记录百亿etf一只,5,慢牛趋势,555,-0.9534902637188108,2.2081200009767326,-0.9817335414259442,0.5116536216976637,-1.5686017300307529,0.0918918918918919
交易记录酒,5,慢牛趋势,555,-0.9995482898319648,3.010014454178816,-0.9995482898319648,0.49063970536047785,-1.6146597561439067,0.10270270270270271
交易记录旅游,5,慢牛趋势,555,-0.9932149960423081,2.4653091254160246,-0.9957477483682271,0.41088275398548785,-1.60832646235425,0.0972972972972973
交易记录创业板,5,慢牛趋势,555,-0.9993982947868333,2.7419142668112677,-0.9997622892985021,0.3003197811783363,-1.614509761098775,0.0990990990990991
交易记录房地产,5,慢牛趋势,555,-0.9994965636210175,2.766203002592848,-0.9999341471494761,0.2817514412113988,-1.6146080299329593,0.09549549549549549
交易记录军工,5,慢牛趋势,555,-0.9113183236229853,1.682406733310705,-0.9181858570467518,0.2538906467099108,-1.526429789934927,0.08828828828828829
交易记录800,5,慢牛趋势,386,-0.9956478103358443,2.7938803118177074,-0.9950862060503002,0.21445366706600583,-1.2827514102585007,0.09067357512953368
交易记录均衡持仓,5,慢牛趋势,555,-0.9997645949079949,2.817882147781355,-0.9998189824862873,0.19617623321633448,-1.6148760612199369,0.09009009009009009
交易记录桥水全天候,5,慢牛趋势,555,-0.9998721097142071,2.857299315293532,-0.999943159872981,0.1957353689449453,-1.614983576026149,0.1009009009009009
交易记录综合拆分1,5,慢牛趋势,224,0.0,0.0,0.0,0.0,-0.134177704561526,0.0
交易记录etf动量改,5,慢牛趋势,224,0.0,0.0,0.0,0.0,-0.134177704561526,0.0
交易记录行业,5,慢牛趋势,224,0.0,0.0,0.0,0.0,-0.134177704561526,0.0
交易记录综合拆分2,5,慢牛趋势,224,0.0,0.0,0.0,0.0,-0.134177704561526,0.0
交易记录双创,5,慢牛趋势,309,-0.9506977965734564,2.09708363990832,-0.9596041047887055,-0.03843805584852571,-1.0864035536280425,0.08090614886731391
医疗etf增强,5,慢牛趋势,359,-0.994326104494681,2.4848781378587095,-0.9957597268830806,-0.11721831373691739,-1.1252846929568143,0.24512534818941503
交易记录1000,5,慢牛趋势,555,-0.9999464127664889,2.7254986710910223,-0.999948970990845,-0.12631085834485833,-1.6150578790784307,0.09009009009009009
交易记录杠铃,5,慢牛趋势,555,-0.9992581168287678,2.281562161326064,-0.9992824687446296,-0.15305686911054364,-1.6143695831407097,0.07387387387387387
交易记录全球etf,5,慢牛趋势,555,-0.9999974786498793,3.047350646536447,-0.9999974122306107,-0.1749602095154099,-1.6151089449618212,0.0936936936936937
交易记录游戏,5,慢牛趋势,555,-0.9999999410875908,3.097716183115014,-0.999999973816707,-0.6150210273584701,-1.6151114073995327,0.09009009009009009
交易记录形态,5,慢牛趋势,556,-1.0,5.5475352376468745,-1.0,-0.948508353540403,-1.615111466311942,0.3039568345323741
